# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = funnel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 0.20000000000000001
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 48393939
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25
# Adaptation terminated
# Step size = 0.2
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-1.7172,0.837896,0.2,4,15,0,17.6938,0.75219,-0.364543,0.25936,-0.64968,-0.532231,-0.442248,0.204692,-0.253935,0.415905,-0.0928037,-1.16259,0.192293,-0.524075,0.571769,-0.315522,0.467922,-1.36753,-0.997729,-0.287692,-0.940196,0.659241,-0.108993,0.358556,-1.0559,0.267531,-0.591309
-15.5234,0.945063,0.2,4,15,0,22.036,0.938945,-0.572644,-0.525995,0.256312,0.180851,-0.687966,0.506228,1.72513,-1.32871,-0.295824,1.96936,-0.0977594,2.74614,1.47288,0.945278,-1.46808,0.136979,-0.846469,-0.633483,0.249731,-0.660437,0.150601,-0.573343,-0.216571,-0.163397,2.23202
-7.848,0.851165,0.2,4,15,0,25.1077,1.02656,0.730548,0.955163,-0.0866095,-0.169959,0.458327,-0.155709,-1.52391,0.803112,0.251856,-1.2858,0.266958,-1.82279,-0.358285,-0.67351,0.759028,-0.0937835,1.00409,0.0427263,0.184212,0.40433,0.216127,0.606307,0.309335,-0.297847,-1.52443
-16.853,0.780705,0.2,4,15,0,24.2308,1.52327,-0.765485,-1.41526,-1.18858,-0.26691,1.68633,-0.855413,-1.95303,-0.000229504,0.239622,1.11339,-1.00236,-0.187805,-1.14337,-0.106053,-0.348734,-2.09303,-0.584518,0.26606,0.42552,-1.42257,-1.13854,1.00798,-0.521688,-2.05496,-1.30097
-21.848,0.579563,0.2,5,31,0,32.0768,1.77564,0.47216,2.62722,0.975685,0.243327,-1.57882,-0.217633,3.19614,-0.0197568,-0.314843,1.00989,-0.595464,0.981912,1.64736,1.32352,2.5151,0.55634,-0.704622,0.155328,1.00062,-0.503654,0.229961,0.165849,1.38514,3.18985,1.17954
-20.564,0.459966,0.2,4,29,0,33.675,1.24535,-0.132245,2.45294,1.40396,0.871129,-0.810194,0.538758,3.085,0.695581,0.0280196,1.5632,-0.607755,-0.278549,2.57868,0.947794,1.8661,-0.267503,-0.864194,-0.315472,0.232984,-0.548908,-0.183473,-0.261747,0.465159,3.22053,1.2596
-23.0026,0.817649,0.2,5,31,0,32.8901,1.35599,0.375332,1.40097,1.07396,0.507817,-0.259699,-0.992528,3.19591,0.105921,0.0857954,1.86939,-1.92527,-1.61152,2.6919,0.107637,1.78987,-0.450438,-1.80925,0.607612,0.479804,-0.606998,-1.01795,0.426918,1.39707,3.12972,2.20634
-19.2871,0.999759,0.2,5,31,0,28.2392,1.35557,0.281308,-0.84476,-0.931859,0.3802,0.628712,0.973732,-1.10611,1.25201,0.168681,-1.13229,2.82982,0.879455,-2.03236,-1.79006,-1.36076,0.714422,0.1431,-0.307618,0.361035,-0.975932,0.272619,-0.746998,0.31676,-3.04754,-2.59369
-29.9251,0.450136,0.2,5,31,0,37.7121,2.14551,-1.92104,-0.503592,-1.29276,-1.60621,0.451791,0.790704,1.45636,-0.109396,-2.42034,-1.42878,1.43763,0.335203,-4.06273,-2.83806,-0.915219,-3.96827,0.678805,-0.939239,0.674359,1.26756,-0.991919,-3.91307,2.17605,-0.648076,-4.15218
-34.5054,0.974188,0.2,6,63,0,48.134,2.647,0.777948,1.57985,0.57766,1.29393,1.23575,-0.227572,4.39362,0.942861,-1.21481,4.87906,1.20303,-2.14453,-5.20904,-5.02868,2.118,-1.40388,2.45682,-1.29034,2.20372,3.38762,0.730151,-1.75267,1.74168,1.61868,0.563834
-56.8542,0.764068,0.2,6,63,0,62.6951,5.91954,-1.33219,4.99556,-5.86113,-6.87883,-4.88855,0.788303,-2.67549,-6.34116,2.61068,-16.8154,-6.3776,3.67065,6.81365,10.9314,-5.0594,0.204967,4.56907,2.44494,1.58633,-9.88163,-0.889957,-0.187274,-3.45223,1.02693,-0.813741
