# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=4938483
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# diagnostic_file=output/hmc_diag_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,p_a,p_b,p_sigma,g_a,g_b,g_sigma
-0.257351,0.000307036,0.5,1,3,1,3.62216,0.291083,0.398187,-0.662661,2.23924,1.30841,0.05924,0.144591,0.251695,0.260015
-0.257351,0,2.33637,0,1,1,1.78968,0.291083,0.398187,-0.662661,0.810311,-1.36479,-0.73851,0.144591,0.251695,0.260015
-0.828775,0.996758,0.230403,3,7,0,0.996369,-0.116326,0.662368,0.0815262,-0.391084,0.0600996,0.422647,-0.271075,0.507619,1.14891
-0.868385,0.805217,0.237923,3,11,0,1.49755,-0.0222753,0.954618,-1.45883,0.160019,-0.484212,-0.999131,3.75401,4.73091,-0.716858
-0.623848,0.919892,0.184354,4,15,0,1.80012,0.0944772,0.396297,-1.45115,-0.13696,-1.0857,1.07473,-4.2304,-3.92858,-0.971925
-1.14175,0.758575,0.221539,3,7,0,1.76532,0.467513,0.519114,-1.63505,-0.878777,0.256393,0.639654,7.26792,7.31952,-1.71944
-0.375199,0.571429,0.176087,2,7,0,4.14983,0.76612,-0.0893925,-0.997599,-0.492415,1.97208,-1.8487,0.387643,-0.46787,0.116507
-0.62486,0.986349,0.0808433,5,63,0,2.55731,-0.0262768,0.202415,-0.512341,-1.27392,0.992368,1.12127,-1.56443,-1.33573,-0.490237
-0.499004,0.997176,0.138607,5,31,0,1.67981,0.0216486,0.518495,-0.195469,0.52318,0.085396,-1.44243,-0.256362,0.240484,0.624142
-1.70261,0.953707,0.253057,2,7,0,2.07043,-0.48213,-0.316183,0.154601,0.0949845,0.636697,-0.566767,-1.60264,-1.43669,-0.348125
-0.433762,0.651592,0.409351,2,3,0,3.85373,0.0744593,0.256059,-0.43526,1.53883,1.5399,-1.44937,-0.875255,-0.693656,0.0410538
-3.89341,0.962687,0.25709,3,7,0,4.52419,0.804007,-0.495096,0.963559,-0.764366,0.813025,-0.127596,0.742973,-0.55613,6.8441
-3.19829,0.943494,0.433884,2,3,0,4.33733,0.686176,-0.707294,0.83573,0.389878,0.30507,1.42584,0.545325,-0.848145,5.21439
-1.91569,0.521043,0.689893,1,3,1,2.48327,0.485959,-1.02625,0.0873499,0.0904208,-0.259099,1.0295,-0.579201,-2.09141,-0.160252
-4.04772,0.98004,0.293365,3,7,0,4.26248,0.649914,-1.72129,0.677191,-0.130669,-0.140141,0.626738,0.185434,-2.18577,3.0385
-4.04772,0.130981,0.524005,1,3,1,5.99353,0.649914,-1.72129,0.677191,1.13411,0.569196,-1.51045,0.185434,-2.18577,3.0385
-2.92175,0.99535,0.0682657,5,31,0,6.30073,1.9532,-0.314502,-0.218689,-0.473684,-2.55359,-0.113061,3.36325,1.09554,-0.638125
-1.23062,0.994544,0.12863,4,31,0,5.30386,-0.323265,0.920847,0.201858,-2.838,0.175062,0.248198,-0.410494,0.833619,1.48599
-4.74428,0.65675,0.239913,2,7,1,7.47468,0.102056,-0.098804,1.12102,0.907551,-2.14424,0.198465,0.0250375,-0.175823,9.35671
-1.34174,0.998175,0.160707,3,7,0,5.29515,0.070828,0.175295,0.469388,0.0860562,-0.859423,2.67597,-0.117714,-0.0132475,2.46596
-3.29774,0.984623,0.30018,3,7,0,3.62798,-0.109095,-1.29923,0.112871,-0.359616,0.697997,0.209658,-1.81388,-3.00402,-2.38907
-1.08011,0.596085,0.533538,2,3,0,3.59809,0.355479,-0.507236,-0.132691,1.082,1.92583,-0.395495,-0.791918,-1.65463,-0.242743
-0.664095,0.97582,0.300824,3,7,0,1.57699,0.704037,0.0931317,-0.100427,-0.54781,-1.23079,-0.1042,0.788352,0.177447,0.812217
-0.385375,0.45046,0.516653,2,6,1,1.97128,-0.0315494,0.521648,-0.568046,-1.22404,0.88622,-0.942423,-0.77312,-0.219923,0.144505
-1.65785,0.978929,0.19352,3,7,0,1.67756,-0.702675,0.959193,-1.03883,-0.00564977,0.19827,0.0083508,-4.46938,-2.80752,-1.65145
-0.499611,1,0.333717,3,7,0,2.26317,0.423936,0.105245,-0.139833,0.469696,-1.51808,-1.00098,0.160702,-0.15799,0.703649
-0.499611,0.264163,0.605366,2,3,0,2.51299,0.423936,0.105245,-0.139833,-1.23542,-0.950628,1.26365,0.160702,-0.15799,0.703649
-1.63585,0.983807,0.137638,3,15,0,5.75201,0.434005,-0.485314,0.480725,0.0212214,-2.05442,2.00281,0.135971,-0.783348,2.38317
-1.78482,0.990669,0.238112,3,7,0,2.2105,0.393894,-0.189175,0.596285,-0.140278,0.72726,-0.550259,0.235049,-0.34802,3.21239
-0.862138,0.494183,0.415993,2,6,1,2.05961,1.17652,-0.443355,-0.971291,0.735028,0.820687,-1.0868,1.21121,-0.408665,0.143161
-0.792535,0.961704,0.184869,3,7,0,1.73461,0.584025,-0.355843,-0.586459,-0.804347,0.746559,0.824515,-1.03173,-1.97159,-0.498435
-0.38616,0.998167,0.296429,4,15,0,0.868957,0.133225,0.481609,-0.34983,-0.831591,0.0409782,-0.521893,-0.0949795,0.253404,0.470885
-1.75228,0.250343,0.520315,2,3,0,2.45159,0.983589,0.723449,-0.130066,-1.04813,0.0537264,-0.54512,2.25324,1.9931,-0.471842
-1.14406,0.999906,0.122706,4,15,0,2.64132,-0.596236,0.558101,0.036029,-1.10099,-0.72753,-1.11939,-1.30929,-0.154953,0.528282
-2.87887,0.951532,0.215933,3,7,0,3.42599,-0.0390583,1.87926,0.0418002,0.282148,-0.376171,-0.93442,0.983765,2.90209,-0.0501935
-1.7067,0.983958,0.331584,2,3,0,3.06672,-0.0195943,1.42953,-0.144681,-0.357518,-1.60067,-0.173444,0.890915,2.34004,0.128014
-1.03824,1,0.55035,2,3,0,2.02338,0.461386,0.771025,0.00982392,-0.327684,1.10317,-0.803696,0.955791,1.26543,0.770556
-1.03824,9.27004e-231,0.944623,1,1,0,3.06101,0.461386,0.771025,0.00982392,-0.296905,1.58218,1.20586,0.955791,1.26543,0.770556
-1.31297,0.998168,0.123239,4,31,0,2.74379,0.180517,1.10271,0.0460314,1.23351,-1.15663,-0.0479359,0.686727,1.60892,0.815474
-1.46038,0.994976,0.211172,3,7,0,2.08784,-0.853405,1.16723,-0.412664,0.641311,0.562033,0.72648,-1.79926,0.221379,0.0461588
-0.875119,0.477718,0.355996,1,3,0,3.24799,-0.490373,0.985592,-1.0037,-1.41575,0.376965,1.61223,-2.22465,-0.748681,-0.269708
-0.487566,0.946823,0.162461,3,11,0,2.6231,0.156629,0.244176,-0.145439,1.56489,-0.377502,1.29603,-0.281291,-0.193744,0.604235
-0.438313,0.994786,0.241449,3,15,0,0.743445,0.187948,0.689092,-0.618798,0.394846,0.300133,0.603556,0.70106,1.2022,0.213707
-1.88777,0.64547,0.401688,2,6,1,3.19885,0.909888,-0.473682,0.495067,0.621255,-1.35046,0.642217,0.801407,-0.582164,2.65992
-4.44674,0.977733,0.281205,3,7,0,4.64761,1.05283,-1.93417,-0.112755,0.159344,0.274644,-0.54857,-0.963849,-3.95085,-2.4478
-7.37326,0.852903,0.444944,3,7,0,8.37359,2.76967,-0.931364,-0.79165,0.245817,1.09249,0.864111,8.17701,4.47597,-5.79743
-7.37326,0.0256783,0.516922,2,5,1,8.55394,2.76967,-0.931364,-0.79165,-0.332442,-1.49491,-0.126874,8.17701,4.47597,-5.79743
-4.14961,1,0.0819226,5,31,0,7.91902,-1.11395,-0.983042,0.715697,-1.81843,1.9504,-0.654273,-1.7891,-1.65819,2.2771
-3.25827,0.999955,0.136517,3,7,0,4.28753,-1.08807,-0.637654,0.405806,-0.616189,-1.10361,0.678882,-2.17796,-1.72754,-0.422965
