# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = example_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 0.01
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 20
# random
#   seed = 974718116
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,mu
-164.174,0.999972,0.01,3,18.1204
-163.081,0.999998,0.01,4,18.0599
-162.843,0.999997,0.01,1,18.0468
-162.355,0.999996,0.01,2,18.0197
-161.061,0.999995,0.01,2,17.9477
-161.121,0.999998,0.01,0,17.9511
-160.942,0.999999,0.01,1,17.9411
-160.96,1,0.01,1,17.9421
-160.151,0.999995,0.01,2,17.897
-159.855,0.999995,0.01,1,17.8804
-160.406,0.999985,0.01,2,17.9113
-160.406,1,0.01,1,17.9112
-157.303,0.999987,0.01,3,17.7371
-158.61,0.999963,0.01,2,17.8107
-157.771,0.999998,0.01,5,17.7635
-157.836,0.999997,0.01,0,17.7672
-158.315,0.999984,0.01,1,17.7941
-158.395,0.999997,0.01,1,17.7986
-158.235,0.999992,0.01,2,17.7896
-158.228,1,0.01,1,17.7892
-158.244,0.999999,0.01,1,17.7901
-158.195,1,0.01,0,17.7874
-158.109,0.999998,0.01,3,17.7825
-158.761,0.999974,0.01,2,17.8191
-157.673,0.999998,0.01,2,17.758
-157.68,1,0.01,0,17.7584
-152.077,0.99998,0.01,4,17.44
-150.176,0.999984,0.01,2,17.3307
-150.598,0.999986,0.01,1,17.355
-149.766,0.999991,0.01,2,17.307
-149.059,0.999995,0.01,2,17.2661
-148.669,0.999997,0.01,1,17.2435
-148.782,1,0.01,5,17.2501
-149.447,0.999982,0.01,2,17.2885
-149.462,1,0.01,1,17.2894
-148.864,0.999991,0.01,2,17.2548
-148.287,1,0.01,3,17.2214
-148.224,0.999999,0.01,0,17.2176
-145.988,0.999985,0.01,2,17.0873
-145.959,1,0.01,1,17.0856
-111.736,0.999996,0.01,5,14.949
-113.618,0.99995,0.01,3,15.0743
-110.126,0.999949,0.01,3,14.8409
-105.436,0.999973,0.01,4,14.5214
-106.103,0.999975,0.01,2,14.5673
-97.6792,0.999994,0.01,4,13.9771
-95.5007,0.999998,0.01,3,13.8203
-90.3372,0.99998,0.01,4,13.4415
-90.0176,0.999999,0.01,2,13.4177
-90.0132,1,0.01,0,13.4174
-90.0124,1,0.01,1,13.4173
-90.0537,0.999998,0.01,0,13.4204
-90.3578,0.999998,0.01,5,13.4431
-90.3497,1,0.01,0,13.4424
-79.6355,0.999996,0.01,5,12.6203
-79.4741,0.999999,0.01,1,12.6075
-79.4958,1,0.01,1,12.6092
-77.7562,0.99999,0.01,3,12.4705
-77.7663,1,0.01,4,12.4713
-74.0203,0.999989,0.01,3,12.1672
-69.5872,0.999949,0.01,4,11.7972
-69.531,0.999998,0.01,1,11.7925
-69.6974,0.999995,0.01,1,11.8066
-68.7615,0.999995,0.01,2,11.727
-68.8269,0.999996,0.01,1,11.7326
-68.7381,0.999999,0.01,1,11.725
-68.7674,0.999999,0.01,0,11.7275
-68.932,0.999992,0.01,1,11.7415
-68.0779,0.999993,0.01,2,11.6686
-67.903,0.999995,0.01,2,11.6536
-67.8984,1,0.01,0,11.6532
-68.0723,0.999995,0.01,1,11.6681
-67.5865,0.999982,0.01,3,11.6264
-66.1214,0.999994,0.01,3,11.4997
-59.1378,0.999972,0.01,4,10.8755
-57.0964,0.999998,0.01,4,10.6861
-51.951,0.999998,0.01,4,10.1932
-15.3904,0.999965,0.01,6,5.54805
-15.385,1,0.01,0,5.54707
-13.4322,0.999987,0.01,4,5.18308
-13.4643,0.999999,0.01,2,5.18928
-3.29861,0.999897,0.01,7,-2.5685
-0.00882333,0.999994,0.01,7,-0.132841
-0.0180132,1,0.01,5,-0.189806
-0.0223715,0.999983,0.01,6,0.211525
-0.0225097,1,0.01,3,0.212178
-0.378854,0.999989,0.01,6,0.870465
-0.991259,0.999979,0.01,5,1.40802
-1.01505,0.999999,0.01,3,1.42481
-0.280307,0.999994,0.01,6,0.748742
-0.0502694,0.999988,0.01,6,0.317079
-0.0266339,0.999999,0.01,5,0.230798
-0.0693245,0.999997,0.01,5,0.372356
-0.141906,0.999996,0.01,5,0.53274
-0.0873579,1,0.01,7,-0.41799
-0.00205546,0.999999,0.01,6,-0.0641165
-0.0254005,0.999994,0.01,6,0.225391
-0.0321687,0.999991,0.01,6,-0.253648
-1.39574,0.999953,0.01,6,1.67077
-1.19973,0.999996,0.01,4,1.54902
-1.19858,1,0.01,2,1.54827
-1.21398,0.999999,0.01,3,1.55819
-0.0218525,0.999947,0.01,6,-0.209057
-0.619576,0.999984,0.01,6,-1.11317
-1.73819,0.999957,0.01,5,-1.86451
-0.0155356,0.999989,0.01,6,0.17627
-1.022,0.99996,0.01,6,1.42969
-0.0476188,0.999997,0.01,6,0.308606
-0.286885,0.99998,0.01,6,0.757477
-0.194897,0.999998,0.01,5,0.624334
-0.00573958,0.999997,0.01,6,0.107141
-0.030759,0.999988,0.01,6,-0.248028
-0.0547571,0.999999,0.01,5,-0.330929
-0.0195258,0.999993,0.01,7,0.197615
-0.646936,0.999979,0.01,6,-1.13748
-0.613046,1,0.01,4,-1.10729
-0.775199,0.999995,0.01,4,-1.24515
-1.33702,0.999972,0.01,5,-1.63525
-1.34597,0.999999,0.01,2,-1.64071
-1.49121,0.99999,0.01,4,-1.72697
-0.924731,0.999983,0.01,5,-1.35995
-0.823061,0.999997,0.01,4,-1.28301
-0.566288,0.999994,0.01,7,1.06423
-2.60946,0.999948,0.01,6,2.2845
-2.78975,0.999988,0.01,4,2.3621
-3.20694,0.99998,0.01,4,2.53257
-1.64815,0.999998,0.01,7,-1.81557
-1.67099,0.999999,0.01,2,-1.82811
-1.63176,0.999999,0.01,3,-1.80652
-1.00726,0.999986,0.01,5,-1.41934
-0.801997,0.999991,0.01,5,-1.26649
-0.793806,1,0.01,3,-1.26
-0.750325,1,0.01,3,-1.22501
-0.270254,0.999994,0.01,6,-0.735193
-0.0146927,0.999995,0.01,7,0.171422
-0.219004,0.999976,0.01,6,-0.661822
-0.155234,0.999999,0.01,5,-0.557197
-0.0567101,0.999999,0.01,6,-0.336779
-0.474792,0.999986,0.01,6,-0.974466
-0.849345,0.999984,0.01,5,-1.30334
-0.848183,1,0.01,2,-1.30245
-0.657104,0.999989,0.01,5,-1.14639
-0.451447,0.999958,0.01,6,0.950207
-0.264239,0.999996,0.01,7,-0.726965
-0.0772501,0.999992,0.01,7,0.393065
-0.0581264,0.999998,0.01,7,-0.340959
-0.0530763,1,0.01,4,-0.325811
-0.364343,0.999967,0.01,7,0.853631
-0.875217,0.999981,0.01,7,-1.32304
-0.961186,0.999996,0.01,4,-1.3865
-0.961355,1,0.01,1,-1.38662
-1.37002,0.999987,0.01,5,-1.65531
-1.59679,0.999991,0.01,4,-1.78706
-1.51656,0.999996,0.01,4,-1.74158
-0.345661,0.999996,0.01,6,-0.831458
-0.404227,0.999998,0.01,5,-0.899141
-0.385386,1,0.01,6,-0.877936
-0.146513,0.999938,0.01,6,0.541318
-0.0755399,1,0.01,7,-0.38869
-0.397691,0.999965,0.01,6,0.891841
-0.219571,0.999996,0.01,6,0.662677
-0.436748,0.999988,0.01,5,0.93461
-0.384637,1,0.01,4,0.877082
-0.501782,0.999993,0.01,5,1.00178
-0.601792,0.999997,0.01,7,-1.09708
-0.649131,0.999998,0.01,4,-1.13941
-0.0783286,0.999979,0.01,6,0.395799
-0.0141501,0.999987,0.01,6,-0.168227
-0.0297443,0.999997,0.01,6,0.243903
-0.0202457,1,0.01,5,0.201225
-0.00717993,1,0.01,7,-0.119833
-0.217857,0.99998,0.01,6,0.660086
-0.178456,0.999999,0.01,7,-0.597422
-0.285788,0.999993,0.01,5,-0.756027
-0.239542,1,0.01,5,-0.692159
-0.27554,0.999999,0.01,4,-0.742348
-0.255751,1,0.01,4,-0.715194
-9.84822e-05,0.999995,0.01,6,-0.0140344
-0.00314249,1,0.01,6,0.0792779
-0.0445178,0.999998,0.01,6,-0.298388
-0.0291081,1,0.01,6,-0.24128
-0.00676622,0.999997,0.01,7,0.116329
-0.100763,0.999993,0.01,6,0.448916
-0.00321227,0.999983,0.01,7,-0.0801532
-0.176349,0.999994,0.01,6,-0.593883
-4.34575e-06,0.999985,0.01,6,-0.00294814
-0.113,0.999994,0.01,6,-0.475395
-0.370537,0.999993,0.01,7,0.860856
-0.0367051,0.999999,0.01,7,-0.270943
-0.0350037,1,0.01,3,-0.264589
-0.666821,0.999938,0.01,6,1.15483
-0.219042,0.999995,0.01,6,0.66188
-0.163592,0.999998,0.01,5,0.572
-0.0754949,0.999999,0.01,5,0.388574
-0.336929,0.999993,0.01,6,0.820889
-0.00326259,1,0.01,7,-0.0807786
-0.0149788,0.999992,0.01,7,0.173083
-0.0150169,1,0.01,3,0.173303
-0.138923,0.999988,0.01,6,-0.527112
-0.686444,0.999968,0.01,8,1.1717
-0.723729,0.999999,0.01,3,1.2031
-0.664808,1,0.01,4,1.15309
-0.712749,0.999999,0.01,4,1.19394
-0.721018,1,0.01,2,1.20085
-0.338811,0.999997,0.01,5,0.823178
-0.777614,0.999988,0.01,7,-1.24709
-0.16971,0.999981,0.01,7,0.582598
-0.100391,1,0.01,5,0.448087
-0.0211431,0.999999,0.01,6,-0.205636
-0.0334381,0.999999,0.01,6,-0.258605
-0.104035,0.999996,0.01,7,0.456146
-0.0649303,1,0.01,5,0.360362
-0.0802411,0.999996,0.01,7,-0.400602
-0.00452166,0.999998,0.01,7,-0.0950964
-0.000131323,0.999993,0.01,6,0.0162064
-0.135474,0.999982,0.01,6,0.520527
-0.150601,1,0.01,4,0.548819
-0.845024,0.999982,0.01,6,1.30002
-0.126705,0.999997,0.01,7,-0.503398
-0.0265285,0.999998,0.01,5,-0.230341
-0.424022,0.999989,0.01,6,-0.920893
-0.000997861,0.999993,0.01,6,-0.0446735
-0.5177,0.999981,0.01,7,1.01755
-0.620409,0.999997,0.01,5,1.11392
-0.115761,0.999991,0.01,6,0.481167
-0.0292155,0.99999,0.01,7,-0.241725
-0.0852006,0.999997,0.01,7,0.412797
-0.100179,0.999991,0.01,6,-0.447614
-0.0286586,0.999999,0.01,5,-0.23941
-0.0216998,0.999999,0.01,5,-0.208326
-0.0187036,1,0.01,5,-0.193409
-1.49225,0.999943,0.01,7,1.72757
-0.697014,0.999968,0.01,5,1.18069
-0.723584,0.999997,0.01,7,-1.20298
-0.0552083,0.999993,0.01,7,0.33229
-0.00997685,0.999999,0.01,7,-0.141258
-0.000391673,1,0.01,6,0.0279883
-0.127517,0.999997,0.01,7,-0.50501
-0.171043,0.999982,0.01,6,0.584881
-0.169441,1,0.01,3,0.582136
-0.19394,0.999972,0.01,7,-0.622801
-6.66756e-05,0.999984,0.01,6,-0.0115478
-0.00898707,0.999999,0.01,6,-0.134068
-0.244897,0.999991,0.01,7,0.699853
-0.593124,0.999981,0.01,6,1.08915
