# stan_version_major = 2
# stan_version_minor = 0
# stan_version_patch = 1
# model = example_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 0
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.65000000000000002 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 0.10000000000000001
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 20
# random
#   seed = 986753838
# output
#   file = samples.csv (Default)
#   append_sample = 0 (Default)
#   diagnostic_file =  (Default)
#   append_diagnostic = 0 (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,mu
-58.7551,0.99935,0.1,0,-6.84021
-58.9123,0.999607,0.1,0,-6.8547
-31.584,0.996419,0.1,2,-3.94783
-31.7054,0.999697,0.1,0,-3.96309
-31.7872,0.999898,0.1,1,-3.97336
-31.4822,1,0.1,1,-3.93501
-30.4986,0.999434,0.1,0,-3.81008
-28.5736,0.998904,0.1,2,-3.55957
-28.6694,0.99976,0.1,0,-3.57224
-27.6661,0.999074,0.1,0,-3.43856
-18.5564,0.999941,0.1,3,-2.09204
-8.5293,0.999904,0.1,4,-0.130207
-7.93304,0.998112,0.1,1,0.0167741
-8.18569,0.999233,0.1,0,-0.0461562
-8.1901,0.999989,0.1,0,-0.0472459
-8.19373,0.999991,0.1,0,-0.0481438
-1.34304,0.996948,0.1,3,2.36108
-1.36159,0.999994,0.1,3,2.34979
-0.778439,0.99945,0.1,2,2.75225
-0.887411,0.99985,0.1,3,2.66778
-0.280727,0.996313,0.1,3,4.7493
-0.113754,0.999621,0.1,3,4.47698
-0.310198,0.999046,0.1,3,3.21235
-0.696685,0.998329,0.1,2,2.81959
-0.899739,0.998994,0.1,1,2.65855
-0.908606,0.999978,0.1,0,2.65196
-0.738801,0.998237,0.1,2,2.78443
-0.39809,0.999996,0.1,3,3.10771
-0.0125433,0.994676,0.1,3,3.84161
-0.275385,0.999634,0.1,3,3.25786
-0.824427,0.997046,0.1,3,2.71592
-0.764913,0.999824,0.1,1,2.76314
-0.942727,0.999217,0.1,1,2.62688
-0.496094,0.99884,0.1,2,3.00391
-0.211744,0.999806,0.1,2,3.34924
-0.173044,0.99993,0.1,1,3.41171
-0.103512,0.999944,0.1,2,3.545
-0.00248582,0.999892,0.1,3,4.07051
-0.123954,0.999582,0.1,3,3.5021
-1.74471,0.990157,0.1,2,2.132
-0.01393,0.998929,0.1,3,3.83309
-0.620927,0.995986,0.1,3,5.11439
-0.659532,0.999807,0.1,1,5.14851
-0.581081,0.999936,0.1,1,5.07804
-0.575615,1,0.1,0,5.07295
-0.847506,0.994177,0.1,2,5.30193
-0.801029,0.999965,0.1,2,5.26572
-0.0178131,0.998445,0.1,3,3.81125
-0.0624995,0.999399,0.1,3,4.35355
-0.582403,0.998378,0.1,3,2.92074
-0.563256,1,0.1,1,2.93863
-0.408374,0.997488,0.1,2,3.09626
-1.60389,0.997624,0.1,3,2.20897
-1.59642,0.999708,0.1,2,2.21315
-0.119166,0.998628,0.1,3,3.51181
-0.0127919,0.999959,0.1,3,3.84005
-2.04237e-05,0.99998,0.1,3,4.00639
-0.0567382,0.999828,0.1,3,3.66314
-0.0926098,0.999203,0.1,3,3.56963
-0.00103214,0.999939,0.1,3,3.95457
-0.71082,0.998384,0.1,3,5.19233
-0.494966,0.999937,0.1,2,4.99495
-0.224459,0.997119,0.1,3,4.67001
-0.00520573,0.999507,0.1,3,4.10204
-0.514724,0.9967,0.1,3,2.98538
-0.105348,0.999891,0.1,3,3.54098
-0.32139,0.999329,0.1,3,3.19826
-1.59202,0.995548,0.1,3,5.78439
-0.640873,0.999109,0.1,2,5.13214
-0.584634,0.99998,0.1,1,5.08133
-0.00263755,0.999616,0.1,3,3.92737
-0.00337197,0.999932,0.1,3,4.08212
-0.0885859,0.99907,0.1,3,4.42092
-0.849597,0.996473,0.1,3,5.30353
-0.0866312,0.995552,0.1,3,4.41625
-0.597177,0.99851,0.1,3,5.09286
-0.290243,0.998298,0.1,3,3.2381
-0.154922,0.999584,0.1,3,3.44336
-0.644341,0.999289,0.1,3,2.8648
-0.64974,0.999987,0.1,0,2.86005
-0.728851,0.999853,0.1,2,2.79265
-0.777244,0.999858,0.1,2,2.75321
-0.157359,0.999368,0.1,2,3.439
-0.120888,0.999996,0.1,2,3.50829
-0.0869464,0.999873,0.1,2,3.583
-0.597923,0.99846,0.1,3,2.90645
-0.00023943,0.99989,0.1,3,4.02188
-0.000455993,0.999999,0.1,2,4.0302
-0.191045,0.999137,0.1,3,4.61813
-0.342806,0.998263,0.1,3,3.17198
-0.00466795,0.99983,0.1,3,4.09662
-0.00168543,0.999859,0.1,3,4.05806
-0.00369936,0.999978,0.1,2,4.08602
-0.486258,0.999203,0.1,3,4.98616
-1.57498,0.994328,0.1,2,5.77481
-0.451145,0.999961,0.1,4,4.94989
-0.0850922,0.999063,0.1,3,4.41253
-0.0819784,0.999997,0.1,0,4.40492
-0.166824,0.999733,0.1,2,4.57762
-0.0183883,0.999852,0.1,3,3.80823
-2.39066,0.994532,0.1,4,6.18662
-2.40302,0.999969,0.1,0,6.19227
-2.43796,0.99979,0.1,2,6.20815
-2.49466,0.999916,0.1,1,6.23368
-2.51699,0.999944,0.1,0,6.24365
-2.76858,0.999698,0.1,2,6.35312
-2.50698,0.999876,0.1,1,6.23919
-2.02598,0.99997,0.1,3,6.01295
-1.70009,0.999925,0.1,1,5.84396
-0.329763,0.989379,0.1,2,4.81211
-0.649807,0.999013,0.1,2,5.14001
-1.42355,0.996672,0.1,3,5.68733
-1.93728,0.998277,0.1,1,5.96839
-2.63444,0.997637,0.1,2,6.2954
-3.32096,0.998007,0.1,1,6.57719
-3.24939,1,0.1,1,6.54927
-3.23281,1,0.1,1,6.54276
-0.0607243,0.996012,0.1,3,4.34849
-1.13617,0.997006,0.1,3,5.50743
-1.44771,0.999405,0.1,3,5.70159
-1.45309,0.999987,0.1,0,5.70475
-1.39263,0.999916,0.1,0,5.66891
-1.38554,1,0.1,0,5.66466
-1.46547,0.999868,0.1,2,5.712
-1.4173,0.999965,0.1,0,5.68362
-0.0171974,0.99909,0.1,3,4.18546
-0.748326,0.995798,0.1,3,2.77662
-0.223001,0.999119,0.1,3,3.33217
-2.62978,0.992955,0.1,3,1.70663
-0.026643,0.995966,0.1,3,4.23084
-0.494194,0.997876,0.1,3,3.00582
-0.068773,0.998861,0.1,3,3.62913
-0.000438709,0.999824,0.1,3,3.97038
-0.000179874,0.999998,0.1,3,4.01897
-0.130094,0.999125,0.1,3,4.51009
-0.479812,0.998579,0.1,2,4.9796
-0.380365,0.999775,0.1,2,4.8722
-0.379267,1,0.1,1,4.87094
-0.45426,0.999703,0.1,1,4.95316
-0.833615,0.997991,0.1,2,5.29121
-1.05446,0.998938,0.1,2,5.45221
-0.0915385,0.99861,0.1,3,4.42787
-0.153036,0.999708,0.1,2,4.55324
-0.76422,0.999398,0.1,4,5.2363
-0.0198784,0.99864,0.1,3,4.19939
-0.0927744,0.999666,0.1,2,4.43075
-0.155304,0.999464,0.1,2,4.55732
-0.000648071,0.99938,0.1,3,4.036
-0.773494,0.99641,0.1,3,5.24378
-0.00128587,0.99784,0.1,3,4.05071
-0.00116174,1,0.1,1,4.0482
-0.654073,0.998376,0.1,3,5.14374
-0.00430578,0.998825,0.1,3,4.0928
-0.123143,0.997383,0.1,3,3.50373
-0.123209,1,0.1,0,3.50359
-0.000459688,0.999869,0.1,3,4.03032
-0.0853805,0.999548,0.1,3,4.41323
-0.403637,0.998857,0.1,2,4.89848
-1.83984,0.995732,0.1,2,5.91825
-2.63715,0.997156,0.1,1,6.29658
-0.761421,0.999993,0.1,3,5.23403
-0.754979,1,0.1,1,5.2288
-0.737977,1,0.1,2,5.21489
-0.00054983,0.996606,0.1,3,4.03316
-0.00191304,0.999993,0.1,3,3.93814
-0.68586,0.99741,0.1,3,5.1712
-0.0462009,0.999782,0.1,3,3.69602
-0.0913051,0.999294,0.1,3,4.42733
-0.00582545,0.999733,0.1,3,3.89206
-0.00640108,0.998771,0.1,3,4.11315
-0.0144965,0.999662,0.1,3,3.82973
-0.0363773,0.999879,0.1,3,4.26973
-0.0105188,0.999979,0.1,3,3.85496
-0.528405,0.997245,0.1,2,2.97199
-0.599952,0.999892,0.1,2,2.9046
-0.510924,1,0.1,3,2.98914
-0.00537726,0.999954,0.1,3,3.8963
-0.315636,0.998302,0.1,3,3.20547
-0.31781,0.999997,0.1,1,3.20274
-0.312274,0.999661,0.1,3,3.20972
-0.098787,0.999936,0.1,2,3.55551
-0.000450845,0.999919,0.1,3,4.03003
-0.187609,0.999636,0.1,4,4.61255
-0.0422073,0.999737,0.1,2,4.29054
-0.391614,0.998508,0.1,3,3.115
-0.028528,0.997276,0.1,3,4.23886
-0.287937,0.999152,0.1,3,3.24114
-0.631476,0.999115,0.1,2,2.87619
-0.0108836,0.997636,0.1,3,3.85246
-0.0579962,0.99966,0.1,3,3.65942
-0.000571351,0.998953,0.1,3,3.9662
-0.285919,0.999325,0.1,3,4.7562
-0.214163,0.999945,0.1,1,4.65447
-0.126755,0.999927,0.1,2,4.5035
-0.719376,0.990922,0.1,3,2.80052
-0.640572,0.999943,0.1,4,2.86812
-0.765207,0.999519,0.1,1,2.7629
-0.732699,0.999953,0.1,0,2.78946
-1.03553,0.996956,0.1,3,5.43912
-0.0251112,0.998461,0.1,3,3.7759
-0.623715,0.998904,0.1,3,5.11688
-0.0359418,0.999032,0.1,3,3.73189
-0.0704794,0.999865,0.1,2,3.62456
-0.358271,0.99719,0.1,3,4.84649
-1.30366,0.98565,0.1,3,5.61472
-1.08847,0.999944,0.1,1,5.47545
-1.22011,0.998903,0.1,2,5.56212
-1.26704,0.999832,0.1,0,5.59188
-0.727648,0.999462,0.1,2,5.20636
-1.92371,0.996821,0.1,2,5.96148
-1.71461,0.999859,0.1,1,5.85182
-0.188737,0.999749,0.1,3,4.61439
-0.181464,0.999991,0.1,0,4.60243
-0.0127395,0.999904,0.1,3,4.15962
-0.105512,0.999092,0.1,3,3.54063
-0.00115968,0.998118,0.1,3,3.95184
-0.145765,0.999663,0.1,3,4.53994
-0.194882,0.998637,0.1,3,3.37569
-0.103849,0.99963,0.1,3,3.54426
-0.000378111,0.999971,0.1,3,3.9725
-0.0520201,0.999802,0.1,3,4.32255
-0.118035,0.999678,0.1,3,3.51413
-0.407585,0.99858,0.1,2,3.09713
-0.40522,1,0.1,0,3.09976
-0.795158,0.997714,0.1,3,2.73892
-0.0335727,0.999106,0.1,3,4.25912
-0.0199954,0.998809,0.1,3,3.80002
-0.20843,0.999357,0.1,3,4.64565
-0.102518,0.998531,0.1,3,3.54719
-0.0685034,0.999533,0.1,3,4.37014
-0.224068,0.999419,0.1,3,3.33057
-1.09708,0.998926,0.1,3,2.51873
-1.07029,1,0.1,2,2.53693
-1.0309,0.999958,0.1,0,2.5641
-0.964764,0.999968,0.1,3,2.61093
-0.0231758,0.999725,0.1,3,4.21529
-0.00962927,0.998534,0.1,3,3.86122
-0.0230977,0.999954,0.1,2,3.78507
-0.109322,0.999292,0.1,3,3.53241
-0.114668,0.999364,0.1,3,4.47889
-0.245565,0.999878,0.1,4,4.70081
-0.310686,0.999965,0.1,4,4.78827
-0.885071,0.997123,0.1,3,2.66953
-0.0875489,0.999163,0.1,2,3.58155
-0.0271272,0.999951,0.1,3,3.76707
-0.330674,0.999269,0.1,3,3.18677
-3.95046,0.993296,0.1,4,6.81086
-0.261773,0.999916,0.1,3,4.72356
-0.250804,0.999985,0.1,0,4.70824
-0.273032,0.999976,0.1,2,4.73896
-0.246314,0.999986,0.1,1,4.70188
-8.44738e-08,0.999956,0.1,3,4.00041
-0.00610544,0.999914,0.1,3,4.1105
-0.247206,0.999339,0.1,3,3.29686
-0.310987,0.999089,0.1,2,3.21135
-0.327624,0.998493,0.1,3,4.80947
-1.58459,0.998193,0.1,3,5.78022
-0.00064468,0.998269,0.1,3,3.96409
-0.0707721,0.999897,0.1,3,3.62378
-0.0609438,0.999924,0.1,2,3.65088
-0.0633886,0.999991,0.1,0,3.64394
-0.00610349,0.999922,0.1,3,3.88951
-0.0126734,0.999927,0.1,2,3.84079
-0.00399659,0.999851,0.1,3,4.0894
-0.666987,0.998698,0.1,3,2.84502
-0.722369,0.999677,0.1,1,2.79803
-2.0425,0.996419,0.1,2,1.97886
-2.53051,0.998574,0.1,1,1.75033
-2.52943,1,0.1,0,1.75081
-2.31191,0.999132,0.1,1,1.84969
-3.31637,0.998704,0.1,3,1.42459
-2.60363,0.998356,0.1,1,1.71806
-2.5228,0.999955,0.1,0,1.75376
-0.00344004,0.999993,0.1,3,4.08295
-0.0246526,0.999406,0.1,3,3.77795
-0.000939637,0.9999,0.1,2,3.95665
-1.22738,0.994299,0.1,3,2.43323
-0.223114,0.999574,0.1,3,3.332
-1.05262,0.99887,0.1,4,5.45094
-0.00745585,0.999271,0.1,3,3.87789
-0.0312068,0.999916,0.1,3,3.75017
-0.249725,0.999202,0.1,3,3.29328
-0.071416,0.99926,0.1,3,3.62207
-0.0781127,0.999957,0.1,1,3.60475
-0.00235082,0.999761,0.1,3,3.93143
-0.289824,0.999508,0.1,3,4.76135
-0.33826,0.99766,0.1,3,3.17749
-0.443405,0.999464,0.1,1,3.05829
-0.486542,0.999826,0.1,3,3.01355
-0.753529,0.998022,0.1,2,2.77238
-1.04232,0.998986,0.1,2,2.55617
-0.421335,0.9974,0.1,2,3.08203
-0.331471,0.999795,0.1,1,3.18579
-0.330008,1,0.1,0,3.18759
-0.025486,0.998655,0.1,3,4.22577
-0.00186787,0.999528,0.1,3,3.93888
-0.838273,0.997574,0.1,3,2.70518
-0.843119,0.999988,0.1,0,2.70145
-0.515041,0.998235,0.1,2,2.98507
-0.537379,0.999913,0.1,0,2.96329
-0.209974,0.999333,0.1,2,3.35197
-0.000241033,0.999403,0.1,3,3.97804
-0.322631,0.999015,0.1,3,4.80328
-0.333171,0.999967,0.1,0,4.8163
-0.277395,0.999986,0.1,4,3.25516
-0.344772,0.999714,0.1,1,3.16961
-0.270014,0.999987,0.1,3,3.26513
-0.2112,0.999862,0.1,1,3.35008
-1.06071,0.99874,0.1,3,2.54349
-1.10832,0.999811,0.1,0,2.51116
-1.1036,1,0.1,0,2.51434
-0.0105769,0.999805,0.1,3,3.85456
-0.225236,0.999661,0.1,3,3.32883
-0.183434,0.999932,0.1,1,3.3943
-0.503355,0.999594,0.1,3,2.99665
-0.848678,0.999038,0.1,2,2.69717
-0.260441,0.999121,0.1,3,4.72172
-0.258493,1,0.1,0,4.71902
-0.292269,0.999911,0.1,2,4.76455
-0.254063,0.999997,0.1,4,4.71283
-0.252806,1,0.1,1,4.71106
-0.0377235,0.99967,0.1,3,4.27468
-0.0236397,0.999924,0.1,2,4.21744
-0.133372,0.999468,0.1,2,4.51647
-0.0803091,0.998257,0.1,3,3.59923
-0.128794,0.997489,0.1,3,4.50753
-0.134919,0.999975,0.1,0,4.51946
-0.0341367,0.999527,0.1,3,3.73871
-0.000897559,0.999739,0.1,2,3.95763
-0.316074,0.999594,0.1,4,4.79508
-0.0185013,0.999331,0.1,2,4.19236
-1.07595,0.998448,0.1,3,5.46694
-0.777234,0.999666,0.1,2,5.24678
-0.226684,0.998429,0.1,2,4.67333
-1.36697,0.998547,0.1,4,5.65346
-1.12016,0.999565,0.1,1,5.49677
-1.13553,0.99999,0.1,2,5.50701
-1.17691,0.999858,0.1,0,5.53422
-1.18408,0.999991,0.1,1,5.53888
-1.3127,0.999611,0.1,1,5.62031
-1.44264,0.999623,0.1,1,5.69861
-1.25451,0.999804,0.1,1,5.58399
-0.0148301,0.999585,0.1,3,3.82778
-0.00043054,0.999993,0.1,3,4.02934
-0.00014789,0.999189,0.1,4,4.0172
-0.05569,0.999883,0.1,3,3.66626
-0.190666,0.999071,0.1,3,4.61752
-0.264013,0.997493,0.1,3,3.27335
-0.266201,0.999995,0.1,0,3.27034
-0.250325,0.999117,0.1,3,4.70757
-0.252459,0.998279,0.1,3,3.28942
-0.263973,0.99998,0.1,3,3.2734
-0.254941,0.999963,0.1,2,3.28594
-0.0308463,0.998317,0.1,3,4.24838
-0.00291507,0.99981,0.1,3,3.92364
-0.0186907,0.999888,0.1,3,4.19334
-0.316172,0.999046,0.1,3,4.7952
-0.827399,0.996655,0.1,2,5.28639
-0.845341,0.998879,0.1,3,5.30026
-1.44971,0.995813,0.1,3,2.29723
-0.555146,0.998117,0.1,2,2.9463
-0.000639595,0.998829,0.1,3,4.03577
-0.0234174,0.999683,0.1,3,3.78359
-0.0240014,0.999999,0.1,3,3.7809
-0.760202,0.994286,0.1,3,2.76695
-0.976048,0.996725,0.1,2,2.60283
-1.17954,0.999189,0.1,1,2.46407
-0.0582706,0.999757,0.1,3,4.34138
-0.0909414,0.999857,0.1,2,4.42648
-0.0181935,0.999961,0.1,3,3.80925
-0.562133,0.999188,0.1,3,2.93969
-0.534814,0.999952,0.1,0,2.96577
-0.646232,0.999556,0.1,1,2.86313
-0.640229,1,0.1,1,2.86843
-0.638219,1,0.1,0,2.8702
-0.530292,0.999844,0.1,1,2.97015
-0.507744,0.999968,0.1,0,2.99229
-0.334716,0.999202,0.1,2,3.18181
-0.321877,1,0.1,1,3.19766
-0.72054,0.998318,0.1,2,2.79955
-0.429863,0.999817,0.1,3,3.07279
-0.417071,1,0.1,1,3.08669
-0.124495,0.999139,0.1,2,3.50101
-0.265198,0.999196,0.1,2,3.27172
-0.0636393,0.998237,0.1,3,4.35676
-0.144067,0.99941,0.1,3,3.46322
-0.234288,0.999592,0.1,2,3.31547
-0.000518235,0.999765,0.1,3,4.03219
-0.000590489,0.99997,0.1,4,3.96563
-0.133029,0.999777,0.1,3,4.51581
-0.132865,1,0.1,0,4.51549
-4.10692,0.994619,0.1,3,6.86598
-1.55362,0.999906,0.1,3,5.76274
-0.83798,0.999212,0.1,2,5.29459
-0.636443,0.997236,0.1,2,5.12822
-0.427932,0.999914,0.1,2,4.92513
-0.0378013,0.998878,0.1,3,3.72504
-0.0917831,0.999813,0.1,2,3.57155
-0.0202541,0.999425,0.1,3,3.79873
