xs,wide_likelihoods,narrow_small_likelihoods,narrow_large_likelihoods,normal_prior,normal_posterior_wide,normal_posterior_narrow_small,normal_posterior_narrow_large,normal_mixture_prior,normal_mixture_posterior_wide,normal_mixture_posterior_narrow_small,normal_mixture_posterior_narrow_large,laplace_prior,laplace_posterior_wide,laplace_posterior_narrow_small,laplace_posterior_narrow_large,cauchy_prior,cauchy_posterior_wide,cauchy_posterior_narrow_small,cauchy_posterior_narrow_large
-15,1.19365972322905e-05,3.03790169878992e-60,1.43209778013794e-139,5.53070954984442e-50,4.43198697250143e-55,1.04532213433192e-108,7.16760463369192e-177,0.00323793989164729,2.79329860253627e-08,7.54546122975337e-62,7.86019602541203e-140,1.52951160250913e-07,1.21601514932794e-12,3.09486582289921e-66,7.51495230158249e-142,0.00140845082382208,1.1864753184425e-08,3.37110540935001e-62,6.52954743970115e-140
-14.975,1.22576722513685e-05,4.58758869125801e-60,2.69144398887349e-139,8.04462057499624e-50,6.65099174924565e-55,2.29607260520234e-108,1.95934733222964e-176,0.00325009480492885,2.89272954620278e-08,1.14373074543633e-61,1.48276832100065e-139,1.56823137307016e-07,1.28635123491884e-12,4.79192424638145e-66,1.44809236960973e-141,0.00141313652818406,1.22818662328008e-08,5.10770167671632e-62,1.23122716999029e-139
-14.95,1.25868919803102e-05,6.92346970508357e-60,5.05506316744287e-139,1.16938857121046e-49,9.97438079363553e-55,5.0370727029142e-108,5.34941080013602e-176,0.00326227495729744,2.99556411860638e-08,1.73255747801449e-61,2.79536853428052e-139,1.60793133928962e-07,1.36070250856242e-12,7.4149227119834e-66,2.78865550851992e-141,0.00141784561946433,1.27132164662332e-08,7.73409797750477e-62,2.32019375991144e-139
-14.925,1.29244491066545e-05,1.04421922541275e-59,9.48847447041545e-139,1.69879389120532e-49,1.4948481589714e-54,1.10364132405723e-107,1.45867185162576e-175,0.00327448029080307,3.10191383162187e-08,2.62287357966629e-61,5.26660439602808e-139,1.64863631493874e-07,1.4392950722177e-12,1.14665265061661e-65,5.36688187310001e-141,0.00142257825332342,1.31592746842926e-08,1.17037430330017e-61,4.36959595432354e-139
-14.9,1.32705404992072e-05,1.57393987977664e-59,1.77989656921399e-138,2.46632952588055e-49,2.23882330377704e-54,2.41509834160801e-107,3.97252268941403e-175,0.00328671074680578,3.2118936723688e-08,3.96819419252964e-61,9.91626613496063e-139,1.69037174195237e-07,1.52236758052581e-12,1.77208967815697e-65,1.03223307569586e-140,0.00142733458671715,1.36205267327856e-08,1.76999017902584e-61,8.2241169473863e-139
-14.875,1.36253672890028e-05,2.3708995816479e-59,3.33673490477866e-138,3.57840984192704e-49,3.35084360250688e-54,5.27835769878691e-107,1.0805187371934e-174,0.00329896626597443,3.32562220538044e-08,5.99976620643505e-61,1.86591347994623e-138,1.73316370633098e-07,1.6101719274729e-12,2.73695765697923e-65,1.98409321296821e-140,0.0014321147779095,1.4097473967195e-08,2.6751486151403e-61,1.54692141772502e-138
-14.85,1.39891349515926e-05,3.56916599425257e-59,6.25139885454612e-138,5.18868878929198e-49,5.01187347363332e-54,1.15217897960241e-106,2.9353193006353e-174,0.0033112467882857,3.44322167757309e-08,9.06570513637302e-61,3.5088167057185e-138,1.77703895444532e-07,1.70297397003929e-12,4.2245361142738e-65,3.81131582383445e-140,0.00143691898648576,1.45906337298336e-08,4.04069395006203e-61,2.90789160703181e-138
-14.825,1.43620533906746e-05,5.36968610541243e-59,1.17047267439909e-137,7.51889002120099e-49,7.49130778015032e-54,2.51187607564249e-106,7.96407846041876e-174,0.00332355225302291,3.56481812608532e-08,1.36897243351088e-60,6.59410280200214e-138,1.82202490975371e-07,1.80105429079524e-12,6.51656215046654e-65,7.31671890235697e-140,0.00144174737336571,1.51005398411015e-08,6.09951067069541e-61,5.46284866883224e-138
-14.8,1.47443370230809e-05,8.07345850316021e-59,2.19015027991191e-137,1.08887595532772e-48,1.11899148970751e-53,5.46932339196577e-106,2.15810634499573e-173,0.00333588259877506,3.6905414890595e-08,2.06592079972066e-60,1.23844463634971e-137,1.86814968994263e-07,1.90470900150564e-12,1.00458484473398e-64,1.40373900873289e-139,0.00144660010081708,1.5627743105244e-08,9.20163571623411e-61,1.02563097481042e-137
-14.775,1.51362048651407e-05,1.2131064217502e-58,4.09557721099821e-137,1.57591086250124e-48,1.67035017952428e-53,1.1893950558645e-105,5.84073207939936e-173,0.0033482377634357,3.82052571943863e-08,3.11572045085425e-60,2.32446671251362e-137,1.9154421245012e-07,2.01425058991368e-12,1.54768747670061e-64,2.69144142845392e-139,0.00145147733246903,1.61728118310228e-08,1.38728626719337e-60,1.92439445801237e-137
-14.75,1.55378806204318e-05,1.82165760843271e-58,7.65393704943805e-137,2.27936280065516e-48,2.49172364781394e-53,2.58330560592726e-105,1.57876998294713e-172,0.00336061768420198,3.95490890185365e-08,4.69601151627262e-60,4.36009465404152e-137,1.96393177274052e-07,2.13000881198571e-12,2.38291461442757e-64,5.15717731122339e-139,0.00145637923332589,1.67363323677184e-08,2.09024963971559e-60,3.60851143185411e-137
-14.725,1.59495927689399e-05,2.73377752200565e-58,1.42949690751472e-136,3.29476033883516e-48,3.71452957933242e-53,5.6037993410261e-105,4.26213859556627e-172,0.00337302229757358,4.09383337267784e-08,7.0733585523786e-60,8.17324195081098e-137,2.0136489422692e-07,2.25233163201899e-12,3.6665892356195e-64,9.87569706451722e-139,0.00146130596978106,1.73189096568978e-08,3.14746749965537e-60,6.76227924058731e-137
-14.7,1.63715746576393e-05,4.10004053583322e-58,2.66814925580614e-136,4.75951575302064e-48,5.5337478914802e-53,1.21407774197308e-104,1.14919415166041e-171,0.00338545153935178,4.23744584332669e-08,1.06475097112212e-59,1.53115319508147e-136,2.06462470793664e-07,2.38158621313812e-12,5.6382535671805e-64,1.88995742830937e-138,0.00146625770963099,1.79211678003916e-08,4.73647649789215e-60,1.26645321487164e-136
-14.675,1.68040645925135e-05,6.1452803255133e-58,4.97697645669563e-136,6.87116335626039e-48,8.23846914085838e-53,2.62704523142554e-104,3.09468448987199e-171,0.00339790534463844,4.38589752688309e-08,1.60175566275628e-59,2.86661115186054e-136,2.11689093125576e-07,2.51815996083709e-12,8.66473956158105e-64,3.61463833193161e-138,0.0014712346220894,1.85437506449334e-08,7.12328896916409e-60,2.37037056038786e-136
-14.65,1.72473059320301e-05,9.20500042126655e-58,9.27789852813524e-136,9.91348479184058e-48,1.22570306017959e-52,5.6773508736692e-104,8.32331788052668e-171,0.00341038364783509,4.53934426813001e-08,2.40807685119805e-59,5.36345669912952e-136,2.17048028031757e-07,2.66246162236186e-12,1.33074544922106e-63,6.90885763880788e-138,0.00147623687780167,1.91873223839341e-08,1.07062354598686e-59,4.43378255611947e-136
-14.625,1.77015471820876e-05,1.37795327951527e-57,1.72847147319384e-135,1.42939079714038e-47,1.82236607830826e-52,1.22540896279536e-103,2.2358039354787e-170,0.00342288638264194,4.69794667707379e-08,3.61801421845506e-59,1.00287457948263e-135,2.22542625020971e-07,2.81492244487279e-12,2.04250454579905e-63,1.31970299978591e-137,0.00148126464885935,1.98525681768667e-08,1.60814082998503e-59,8.28826439239094e-136
-14.6,1.816704209245e-05,2.06145442958478e-57,3.21812849048354e-135,2.05970102240893e-47,2.7076814929159e-52,2.64163920501158e-103,5.99829862227943e-170,0.00343541348205704,4.86187026604378e-08,5.4324538714159e-59,1.87402042102087e-135,2.281763183952e-07,2.97599739547861e-12,3.13299455292357e-63,2.5192700859126e-137,0.00148631810881486,2.05401947867594e-08,2.41402873552381e-59,1.54840252615806e-135
-14.575,1.86440497546849e-05,3.08206327582934e-57,5.98788030043571e-135,2.96610112393386e-47,4.02041728623961e-52,5.68752190365657e-103,1.6072357421957e-169,0.00344796487837533,5.03128559045523e-08,8.15169040079571e-59,3.49967622047246e-135,2.33952629396195e-07,3.14616644639325e-12,4.8026928611997e-63,4.80619980786252e-137,0.00149139743269641,2.12509312363e-08,3.62152818424613e-59,2.89091433790256e-135
-14.55,1.91328347016224e-05,4.60508794597232e-57,1.11345175948261e-134,4.2687064298531e-47,5.96562964190828e-52,1.22300939972416e-102,4.30118589008597e-169,0.00346054050318778,5.20636839332456e-08,1.22243326129941e-58,6.53141479606206e-135,2.39875168406366e-07,3.32593592863472e-12,7.35764032526635e-63,9.16341761449337e-137,0.00149650279702303,2.19855294830729e-08,5.42965692056047e-59,5.39408344527148e-135
-14.525,1.96336670083515e-05,6.8764275625282e-57,2.0691799791573e-134,6.1395308934096e-47,8.84612446714612e-52,2.62659818317891e-102,1.14961911144529e-168,0.00347314028738051,5.38729975362834e-08,1.83201274644203e-58,1.21818294941915e-134,2.45947637205391e-07,3.51583995786227e-12,1.12647318902287e-62,1.74598980462648e-136,0.00150163437981981,2.27447651144649e-08,8.13549538122944e-59,1.00584530325728e-134
-14.5,2.0146822394768e-05,1.0261630727919e-56,3.84285232354783e-134,8.82475497459482e-47,1.31087537343492e-51,5.63397111463368e-102,3.06885853597876e-168,0.00348576416113401,5.57426623859805e-08,2.74383300257728e-58,2.27061560824299e-134,2.52173831283944e-07,3.71644193613229e-12,1.72358113289057e-62,3.32471553852835e-136,0.00150679236063333,2.35294380627832e-08,1.2182227889121e-58,1.8744584877273e-134
-14.475,2.06725823296939e-05,1.53037709822199e-56,7.13243280753597e-134,1.26764803748279e-46,1.94124953665508e-51,1.20695957505871e-101,8.18195140370959e-168,0.00349841205392223,5.76746006004647e-08,4.10688660285239e-58,4.2296124217045e-134,2.58557642216004e-07,3.92833613354965e-12,2.63554945047635e-62,6.32697107277495e-136,0.00151197692054728,2.4340373341153e-08,1.8230582588017e-58,3.49101385789568e-134
-14.45,2.1211234136581e-05,2.28091499135925e-56,1.32297076907387e-133,1.81979843421015e-46,2.87284984097626e-51,2.58242647071812e-101,2.17868304636121e-167,0.00351108389451187,5.96707923482178e-08,6.14318507117224e-58,7.87378185593214e-134,2.65103060091215e-07,4.15214935399453e-12,4.02753360677596e-62,1.20327742951616e-135,0.00151718824219821,2.51784218007694e-08,2.72649995946649e-58,6.49768178872949e-134
-14.425,2.17630711008181e-05,3.39741271057641e-56,2.45240037658046e-133,2.61081711839941e-46,4.2487002252027e-51,5.51849097860133e-101,5.79413145422049e-167,0.00352377961096152,6.17332774948851e-08,9.18333312176541e-58,1.46484622309896e-133,2.71814176008818e-07,4.38854268932045e-12,6.15085859096379e-62,2.28698996030016e-135,0.00152242650979157,2.60444609100969e-08,4.07513098360659e-58,1.20863852635318e-133
-14.4,2.23283925786562e-05,5.05726930437543e-56,4.54319173538711e-133,3.74333057988501e-46,6.27929452914753e-51,1.17779536530903e-100,1.53900406178058e-166,0.00353649913062097,6.38641572933661e-08,1.37193308451998e-57,2.72349476257862e-133,2.7869518463473e-07,4.63821336664514e-12,9.38773622317533e-62,4.34401495424598e-135,0.00152769190911783,2.69393955566277e-08,6.08707688008968e-58,2.24680595370082e-133
-14.375,2.29075041077681e-05,7.52336998936378e-56,8.41122640598811e-133,5.3637493949574e-46,9.27421627987766e-51,2.51059394463567e-100,4.08270800142472e-166,0.00354924238013039,6.60655961182094e-08,2.04828965626282e-57,5.0604239774125e-133,2.85750386823336e-07,4.90189669359225e-12,1.43190623403227e-61,8.2460683666074e-135,0.00153298462756886,2.78641588718185e-08,9.08672004142309e-58,4.17412878984147e-133
-14.35,2.35007175194607e-05,1.11850344444819e-55,1.55627430295909e-132,7.68081563904764e-46,1.36884787661168e-50,5.34490813094486e-100,1.08171787355131e-165,0.00356200928541966,6.83398232453733e-08,3.05615703535463e-57,9.39665142842142e-133,2.92984192305671e-07,5.18036810659244e-12,2.18271406711896e-61,1.56433987850738e-134,0.00153830485415453,2.88197130798535e-08,1.3556159307633e-57,7.74992105902499e-133
-14.325,2.41083510525531e-05,1.66184608105522e-55,2.87767362165867e-132,1.09919506354945e-45,2.01903921839027e-50,1.13647829212016e-99,2.86244284277897e-165,0.00357479977170766,7.06891346784168e-08,4.55707117459262e-57,1.74375385405811e-132,3.00401122445642e-07,5.47444532761264e-12,3.32512273885172e-61,2.96581370671009e-134,0.00154365277951943,2.98070503708856e-08,2.02114440672553e-57,1.43800328089194e-132
-14.3,2.47307294689392e-05,2.46758905156559e-55,5.31772030527036e-132,1.57206595860573e-45,2.97608906730494e-50,2.41345483748378e-99,7.5651365786272e-165,0.00358761376350156,7.31158950222212e-08,6.79081358802537e-57,3.23387400789281e-132,3.08005813066026e-07,5.78499063495817e-12,5.06229069493127e-61,5.61933838641121e-134,0.00154902859595986,3.08271937994353e-08,3.01154389314854e-57,2.66657404814175e-132
-14.275,2.53681841708509e-05,3.66170571598442e-55,9.82059977581621e-132,2.24695991011207e-45,4.38388038049698e-50,5.11887282519682e-99,1.99688867767223e-164,0.00360045118459618,7.56225394053614e-08,1.01130850100178e-56,5.9935876743542e-132,3.15803017346018e-07,6.11291325408092e-12,7.70220450601985e-61,1.06403292942005e-133,0.00155443249744099,3.18811982086396e-08,4.48448145852277e-57,4.94172531308614e-132
-14.25,2.60210533198349e-05,5.43028479751283e-55,1.81250452532425e-131,3.20958181041996e-45,6.45331801876913e-50,1.08434288816149e-98,5.26439015095255e-164,0.00361331195807332,7.82115754522624e-08,1.50512080322705e-56,1.11013675318543e-131,3.2379760879211e-07,6.45917187462927e-12,1.1711474496082e-60,2.01350873424811e-133,0.00155986467961429,3.29701511810611e-08,6.67369660502273e-57,9.15239480113332e-132
-14.225,2.66896819574646e-05,8.04804400747331e-55,3.34309526694936e-131,4.58173685182378e-45,9.49334012987162e-50,2.29411963931358e-98,1.38611547848151e-163,0.00362619600630118,8.08855853063124e-08,2.23864335635192e-56,2.0549059568346e-131,3.31994584284205e-07,6.82477730029513e-12,1.77965850428494e-60,3.80785614490972e-133,0.00156532533983503,3.40951740167901e-08,9.92548839233353e-57,1.69403387410891e-131
-14.2,2.73744221277975e-05,1.19202851277914e-54,6.16235866533267e-131,6.53642677531866e-45,1.39561817324243e-49,4.84755362507277e-98,3.6450869329895e-163,0.00363910325093369,8.36472277051118e-08,3.32754788845139e-56,3.80130986557508e-131,3.40399067198817e-07,7.21079523834635e-12,2.70265330052978e-60,7.19674499046698e-133,0.00157081467718018,3.52574227395856e-08,1.47525984567817e-56,3.13357897159819e-131
-14.175,2.80756330015974e-05,1.76445875413105e-54,1.13520359247825e-130,9.31921270602907e-45,2.05033956481984e-49,1.02302515641967e-97,9.57356079453721e-163,0.00365203361290999,8.64992401090749e-08,4.94298815450842e-56,7.02749339418818e-131,3.49016310611358e-07,7.61834923608495e-12,4.10178192182931e-60,1.35931547543373e-132,0.00157633289246636,3.64580891318275e-08,2.19137335213335e-56,5.79282510320545e-131
-14.15,2.87936810023371e-05,2.61014686136497e-54,2.08991733273721e-130,1.32784265125475e-44,3.0102084445943e-49,2.15628983859656e-97,2.51128637562866e-162,0.00366498701245382,8.94444408846198e-08,7.33805016986758e-56,1.29835504834113e-130,3.57851700579476e-07,8.04862377184002e-12,6.2213317675595e-60,2.565860105381e-132,0.00158188018826816,3.7698401799067e-08,3.25308535346682e-56,1.07021594345681e-130
-14.125,2.95289399339949e-05,3.85875266886508e-54,3.84514768360531e-130,1.89078683742388e-44,4.41650725899095e-49,4.53926033737785e-97,6.57924582239343e-162,0.003677963369073,9.24857315432016e-08,1.08867345891215e-55,2.39724459122965e-130,3.66910759509517e-07,8.50286750849036e-12,9.43023950361128e-60,4.84032199374784e-132,0.00158745676893654,3.8979627264985e-08,4.82620513563014e-56,1.97598504611329e-130
-14.1,3.02817911106644e-05,5.70108489094129e-54,7.07009920390764e-130,2.69071123564243e-44,6.47549434933439e-49,9.54377469460849e-97,1.72152414475805e-161,0.00369096260155889,9.562609903748e-08,1.61413719593194e-55,4.42340877894063e-130,3.76199149608211e-07,8.98239671792002e-12,1.42853422539879e-59,9.12523585401181e-132,0.00159306284061754,4.03030710975907e-08,7.15562121341016e-56,3.64608792127604e-130
-14.075,3.10526234879891e-05,8.41776192654647e-54,1.29917171420458e-129,3.82666267281517e-44,9.48808376568524e-49,2.00406773891214e-96,4.49890947769091e-161,0.00370398462798592,9.88686181159291e-08,2.39171323749289e-55,8.15694727732836e-130,3.8572267642173e-07,9.48859888523467e-12,2.16265449788117e-59,1.71926376082497e-131,0.00159869861127123,4.16700790675114e-08,1.06027901027765e-55,6.72360011593269e-130
-14.05,3.18418337964402e-05,1.24212223367935e-53,2.38581173964501e-129,5.43878428316299e-44,1.38929890369283e-48,4.20302281596625e-96,1.17424446952758e-160,0.00371702936571105,1.02216453737222e-07,3.54163353016692e-55,1.50322533469286e-129,3.95487292464351e-07,1.00229365020158e-11,3.27199176320277e-59,3.23719965852743e-131,0.00160436429069085,4.30820383392475e-08,1.57008892511879e-55,1.2391043457955e-129
-14.025,3.26498266764517e-05,1.83172637318176e-53,4.37859071691838e-129,7.72524129993367e-44,2.03293960690879e-48,8.80376071792236e-96,3.06102533342874e-160,0.00373009673137337,1.0567286354576e-07,5.24111857944024e-55,2.76851173994508e-129,4.05499100938966e-07,1.05869510583604e-11,4.94727243450319e-59,6.09151094243453e-131,0.00161006009052218,4.45403786962934e-08,2.32359060076354e-55,2.28215511158904e-129
-14,3.34770148154282e-05,2.69951302458859e-53,8.03084231510996e-129,1.09660655938897e-43,2.97279432025524e-48,1.84175494497435e-95,7.96952534739878e-160,0.00374318664089362,1.09241200409732e-07,7.75122247713122e-55,5.09559032123283e-129,4.15764359551784e-07,1.11822672439451e-11,7.47563377307854e-59,1.14553704291883e-130,0.0016157862242832,4.60465738010404e-08,3.43657839852342e-55,4.2006231515207e-129
-13.975,3.43238190866405e-05,3.9759308447827e-53,1.47202915352154e-128,1.55567255836042e-43,4.34427040149116e-48,3.84815530343533e-95,2.07231189828395e-159,0.00375629900947379,1.1292491502311e-07,1.14562444128407e-54,9.37278144341321e-129,4.26289484423599e-07,1.18105973688755e-11,1.12890858091369e-58,2.15288985916793e-130,0.00162154290738397,4.76021424904099e-08,5.07953777540733e-55,7.72704743079236e-129
