xs,normal_prior,normal_mixture_prior,laplace_prior,cauchy_prior,horseshoe_prior
-100,0,1.9236496566766e-24,1.86003798801042e-44,3.18278058377953e-05,1.61813185716503e-05
-99.975,0,1.97234091600718e-24,1.90712507385693e-44,3.18437241177934e-05,2.16723234369612e-05
-99.95,0,2.02225200530971e-24,1.95540417495676e-44,3.18596543423736e-05,2.64319974302515e-05
-99.925,0,2.07341316122116e-24,2.00490546731977e-44,3.18755965234889e-05,2.97638856873048e-05
-99.9,0,2.12585536169974e-24,2.05565989086504e-44,3.18915506731073e-05,3.19875686346591e-05
-99.875,0,2.17961034399567e-24,2.10769916875954e-44,3.19075168032118e-05,3.34960917237335e-05
-99.85,0,2.23471062305225e-24,2.16105582724594e-44,3.19234949258003e-05,3.41123996511554e-05
-99.825,0,2.29118951034746e-24,2.21576321597267e-44,3.19394850528859e-05,3.32519573880852e-05
-99.8,0,2.34908113318727e-24,2.27185552883862e-44,3.19554871964966e-05,3.07302897566196e-05
-99.775,0,2.40842045446026e-24,2.32936782536524e-44,3.19715013686756e-05,2.75279246090928e-05
-99.75,0,2.46924329286531e-24,2.38833605261011e-44,3.19875275814809e-05,2.55205968001566e-05
-99.725,0,2.5315863436231e-24,2.44879706763478e-44,3.20035658469861e-05,2.5985297959578e-05
-99.7,0,2.5954871996831e-24,2.5107886605418e-44,3.20196161772794e-05,2.82379884178135e-05
-99.675,0,2.66098437343765e-24,2.5743495780948e-44,3.20356785844646e-05,3.00072910046076e-05
-99.65,0,2.72811731895484e-24,2.63951954793626e-44,3.20517530806604e-05,2.93913074106734e-05
-99.625,0,2.79692645474323e-24,2.70633930341887e-44,3.20678396780008e-05,2.65120521646465e-05
-99.6,0,2.86745318705992e-24,2.77485060906493e-44,3.20839383886351e-05,2.33382461092281e-05
-99.575,0,2.93973993377556e-24,2.84509628667067e-44,3.21000492247277e-05,2.21095539599304e-05
-99.55,0,3.01383014880932e-24,2.91712024207136e-44,3.21161721984583e-05,2.39719576309758e-05
-99.525,0,3.08976834714685e-24,2.99096749258363e-44,3.21323073220221e-05,2.86311224774815e-05
-99.5,0,3.16760013045563e-24,3.06668419514305e-44,3.21484546076294e-05,3.47278027364895e-05
-99.475,0,3.24737221331087e-24,3.14431767515347e-44,3.21646140675059e-05,4.06267487000955e-05
-99.45,0,3.32913245004771e-24,3.22391645606705e-44,3.21807857138927e-05,4.52510753191756e-05
-99.425,0,3.41292986225303e-24,3.30553028971309e-44,3.21969695590462e-05,4.81983003839456e-05
-99.4,0,3.49881466691255e-24,3.3892101873943e-44,3.22131656152383e-05,4.91603940985567e-05
-99.375,0,3.58683830522973e-24,3.47500845177083e-44,3.22293738947563e-05,4.78240078134021e-05
-99.35,0,3.6770534721294e-24,3.56297870955084e-44,3.2245594409903e-05,4.45615637932054e-05
-99.325,0,3.76951414646572e-24,3.65317594500906e-44,3.22618271729967e-05,4.05386458037742e-05
-99.3,0,3.86427562194896e-24,3.74565653435393e-44,3.2278072196371e-05,3.65510566554559e-05
-99.275,0,3.96139453880767e-24,3.84047828096418e-44,3.22943294923753e-05,3.21868604293165e-05
-99.25,0,4.06092891620532e-24,3.93770045151826e-44,3.23105990733745e-05,2.68000951653362e-05
-99.225,0,4.16293818542764e-24,4.03738381303757e-44,3.23268809517488e-05,2.09247762526759e-05
-99.2,0,4.267483223859e-24,4.13959067086796e-44,3.23431751398944e-05,1.58844020403296e-05
-99.175,0,4.3746263897674e-24,4.2443849076228e-44,3.23594816502229e-05,1.22669203278728e-05
-99.15,0,4.48443155791538e-24,4.3518320231113e-44,3.23758004951615e-05,9.73957056148594e-06
-99.125,0,4.59696415601783e-24,4.46199917527846e-44,3.23921316871532e-05,8.42377410154063e-06
-99.1,0,4.7122912020653e-24,4.57495522218056e-44,3.24084752386567e-05,9.69096504216659e-06
-99.075,0,4.83048134253435e-24,4.69077076502389e-44,3.24248311621462e-05,1.50606223968388e-05
-99.05,0,4.95160489150472e-24,4.80951819229296e-44,3.2441199470112e-05,2.40347692316275e-05
-99.025,0,5.07573387070458e-24,4.93127172499525e-44,3.24575801750598e-05,3.30023349332266e-05
-99,0,5.20294205050706e-24,5.05610746305224e-44,3.24739732895114e-05,3.70452409815664e-05
-98.975,0,5.33330499189837e-24,5.1841034328639e-44,3.24903788260042e-05,3.37529640018725e-05
-98.95,0,5.46690008944126e-24,5.31533963607791e-44,3.25067967970914e-05,2.52540176245986e-05
-98.925,0,5.60380661525788e-24,5.44989809959353e-44,3.25232272153423e-05,1.64330510861587e-05
-98.9,0,5.74410576405415e-24,5.58786292683055e-44,3.2539670093342e-05,1.07466381362746e-05
-98.875,0,5.8878806992116e-24,5.72932035029728e-44,3.25561254436913e-05,8.67600427968159e-06
-98.85,0,6.03521659997045e-24,5.87435878548816e-44,3.25725932790072e-05,8.50365856808096e-06
