xs,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,unif_prior,unif_post_containment,unif_post_contraction,unif_post_compromise
-20,4.98930718499401e-06,0,0,3.84729931335321e-23,2.77565655851079e-27,0,0,0,0,0,0
-19.975,5.10022450546905e-06,0,0,4.35922068799133e-23,3.21490141091817e-27,0,0,0,0,0,0
-19.95,5.21347729105538e-06,0,0,4.93848658573062e-23,3.72298146689462e-27,0,0,0,0,0,0
-19.925,5.32911167637073e-06,0,0,5.59385290948646e-23,4.31057666381776e-27,0,0,0,0,0,0
-19.9,5.4471746392848e-06,0,0,6.33520026091126e-23,4.99000702149238e-27,0,0,0,0,0,0
-19.875,5.5677140148727e-06,0,0,7.17367661045946e-23,5.77548185992533e-27,0,0,0,0,0,0
-19.85,5.69077850956939e-06,0,0,8.12185783241063e-23,6.68338647801219e-27,0,0,0,0,0,0
-19.825,5.81641771552743e-06,0,0,9.19392831203566e-23,7.73261186145874e-27,0,0,0,0,0,0
-19.8,5.94468212518029e-06,0,0,1.04058841010141e-22,8.94493380647963e-27,0,0,0,0,0,0
-19.775,6.07562314601367e-06,0,0,1.17757613984232e-22,1.03454487828443e-26,0,0,0,0,0,0
-19.75,6.20929311554692e-06,0,0,1.33238934719414e-22,1.19630749327147e-26,0,0,0,0,0,0
-19.725,6.34574531652741e-06,0,0,1.50731995116186e-22,1.38311278299091e-26,0,0,0,0,0,0
-19.7,6.48503399233978e-06,0,0,1.70495093314003e-22,1.59879820299147e-26,0,0,0,0,0,0
-19.675,6.62721436263238e-06,0,0,1.92819283068853e-22,1.84778310495182e-26,0,0,0,0,0,0
-19.65,6.77234263916397e-06,0,0,2.18032474674718e-22,2.13515602552396e-26,0,0,0,0,0,0
-19.625,6.92047604187246e-06,0,0,2.46504042536947e-22,2.4667749244786e-26,0,0,0,0,0,0
-19.6,7.0716728151683e-06,0,0,2.78650001136035e-22,2.84938227131653e-26,0,0,0,0,0,0
-19.575,7.22599224445513e-06,0,0,3.14938818536369e-22,3.29073715477236e-26,0,0,0,0,0,0
-19.55,7.38349467287986e-06,0,0,3.55897944888548e-22,3.79976690431466e-26,0,0,0,0,0,0
-19.525,7.54424151831521e-06,0,0,4.02121142647828e-22,4.38674107241128e-26,0,0,0,0,0,0
-19.5,7.70829529057626e-06,0,0,4.54276715598833e-22,5.06347103732302e-26,0,0,0,0,0,0
-19.475,7.87571960887457e-06,0,0,5.13116745365913e-22,5.84353895576419e-26,0,0,0,0,0,0
-19.45,8.04657921951169e-06,0,0,5.79487457039442e-22,6.74256033114412e-26,0,0,0,0,0,0
-19.425,8.22094001381475e-06,0,0,6.54340850020283e-22,7.7784850756867e-26,0,0,0,0,0,0
-19.4,8.3988690463168e-06,0,0,7.38747746352132e-22,8.97194264418928e-26,0,0,0,0,0,0
-19.375,8.58043455318416e-06,0,0,8.33912426870008e-22,1.03466376156904e-25,0,0,0,0,0,0
-19.35,8.76570597089402e-06,0,0,9.41189045662141e-22,1.19298030107374e-25,0,0,0,0,0,0
-19.325,8.95475395516377e-06,0,0,1.06210003586179e-21,1.37527196719994e-25,0,0,0,0,0,0
-19.3,9.14765040013558e-06,0,0,1.19835674492754e-21,1.58513112226248e-25,0,0,0,0,0,0
-19.275,9.34446845781858e-06,0,0,1.35188256563436e-21,1.82668254703632e-25,0,0,0,0,0,0
-19.25,9.54528255779103e-06,0,0,1.52483886031677e-21,2.10466146692435e-25,0,0,0,0,0,0
-19.225,9.75016842716527e-06,0,0,1.7196540108538e-21,2.42450288109268e-25,0,0,0,0,0,0
-19.2,9.95920311081801e-06,0,0,1.93905596587348e-21,2.79244381246564e-25,0,0,0,0,0,0
-19.175,1.01724649918887e-05,0,0,2.1861087001447e-21,3.2156403252125e-25,0,0,0,0,0,0
-19.15,1.03900338125486e-05,0,0,2.46425304962692e-21,3.70230141702574e-25,0,0,0,0,0,0
-19.125,1.06119906950429e-05,0,0,2.77735243972968e-21,4.26184219048333e-25,0,0,0,0,0,0
-19.1,1.08384181630091e-05,0,0,3.12974408463005e-21,4.90505904610629e-25,0,0,0,0,0,0
-19.075,1.10694001630741e-05,0,0,3.52629630270384e-21,5.64433002503221e-25,0,0,0,0,0,0
-19.05,1.1305022086732e-05,0,0,3.9724726680292e-21,6.49384386797518e-25,0,0,0,0,0,0
-19.025,1.15453707925071e-05,0,0,4.47440380138522e-21,7.4698618566425e-25,0,0,0,0,0,0
-19,1.17905346284018e-05,0,0,5.03896769715001e-21,8.59101707231952e-25,0,0,0,0,0,0
-18.975,1.20406034546359e-05,0,0,5.67387958608185e-21,9.87865635335124e-25,0,0,0,0,0,0
-18.95,1.22956686666767e-05,0,0,6.38779244931523e-21,1.13572309694025e-24,0,0,0,0,0,0
-18.925,1.25558232185641e-05,0,0,7.19040942735014e-21,1.3054742867805e-24,0,0,0,0,0,0
-18.9,1.28211616465337e-05,0,0,8.09260951081469e-21,1.50032542997371e-24,0,0,0,0,0,0
-18.875,1.30917800929395e-05,0,0,9.10658805895012e-21,1.72394697169874e-24,0,0,0,0,0,0
-18.85,1.33677763304805e-05,0,0,1.02460138689266e-20,1.98054000613401e-24,0,0,0,0,0,0
-18.825,1.36492497867321e-05,0,0,1.1526204716209e-20,2.27491209681322e-24,0,0,0,0,0,0
-18.8,1.39363015689861e-05,0,0,1.29643235055019e-20,2.61256379960188e-24,0,0,0,0,0,0
-18.775,1.42290344894026e-05,0,0,1.45795974157432e-20,2.99978738020957e-24,0,0,0,0,0,0
-18.75,1.4527553090475e-05,0,0,1.63935626939072e-20,3.44377942343583e-24,0,0,0,0,0,0
-18.725,1.48319636708122e-05,0,0,1.84303380540595e-20,3.9527692645048e-24,0,0,0,0,0,0
-18.7,1.51423743112398e-05,0,0,2.07169299734802e-20,4.53616543759364e-24,0,0,0,0,0,0
-18.675,1.54588949012236e-05,0,0,2.32835735504799e-20,5.20472263723993e-24,0,0,0,0,0,0
-18.65,1.57816371656184e-05,0,0,2.61641130028579e-20,5.97073202949263e-24,0,0,0,0,0,0
-18.625,1.61107146917439e-05,0,0,2.93964263463232e-20,6.8482381368592e-24,0,0,0,0,0,0
-18.6,1.64462429567913e-05,0,0,3.30228993036965e-20,7.85328596042386e-24,0,0,0,0,0,0
-18.575,1.67883393555626e-05,0,0,3.70909540638325e-20,9.00420250087308e-24,0,0,0,0,0,0
-18.55,1.71371232285467e-05,0,0,4.16536391401948e-20,1.03219174054046e-23,0,0,0,0,0,0
-18.525,1.74927158903333e-05,0,0,4.67702872796465e-20,1.1830328108449e-23,0,0,0,0,0,0
-18.5,1.7855240658368e-05,0,0,5.25072491498519e-20,1.35567155607978e-23,0,0,0,0,0,0
-18.475,1.82248228820526e-05,0,0,5.89387113971248e-20,1.55322174654203e-23,0,0,0,0,0,0
-18.45,1.8601589972191e-05,0,0,6.61476086247676e-20,1.77923668717057e-23,0,0,0,0,0,0
-18.425,1.89856714307854e-05,0,0,7.42266399052222e-20,2.03777050375316e-23,0,0,0,0,0,0
-18.4,1.93771988811843e-05,0,0,8.32794016189964e-20,2.33344786667164e-23,0,0,0,0,0,0
-18.375,1.97763060985862e-05,0,0,9.34216497217448e-20,2.67154329864241e-23,0,0,0,0,0,0
-18.35,2.01831290408998e-05,0,0,1.0478270599209e-19,3.05807136657771e-23,0,0,0,0,0,0
-18.325,2.0597805879966e-05,0,0,1.1750702442178e-19,3.49988923166539e-23,0,0,0,0,0,0
-18.3,2.10204770331415e-05,0,0,1.31755935693713e-19,4.0048132286915e-23,0,0,0,0,0,0
-18.275,2.14512851952499e-05,0,0,1.47709589670734e-19,4.58175136849154e-23,0,0,0,0,0,0
-18.25,2.1890375370899e-05,0,0,1.6556911800944e-19,5.24085390957476e-23,0,0,0,0,0,0
-18.225,2.23378949071718e-05,0,0,1.85559041441599e-19,5.99368443022809e-23,0,0,0,0,0,0
-18.2,2.27939935266887e-05,0,0,2.07929948955758e-19,6.85341415503351e-23,0,0,0,0,0,0
-18.175,2.32588233610482e-05,0,0,2.32961479091502e-19,7.83504265456881e-23,0,0,0,0,0,0
-18.15,2.37325389846454e-05,0,0,2.60965636858894e-19,8.95564844953078e-23,0,0,0,0,0,0
-18.125,2.42152974488718e-05,0,0,2.92290483449516e-19,1.02346735167489e-22,0,0,0,0,0,0
-18.1,2.47072583167014e-05,0,0,3.27324239951092e-19,1.16942462214631e-22,0,0,0,0,0,0
-18.075,2.52085836976608e-05,0,0,3.66499850755233e-19,1.33595477955736e-22,0,0,0,0,0,0
-18.05,2.57194382831906e-05,0,0,4.10300057303405e-19,1.52592281541112e-22,0,0,0,0,0,0
-18.025,2.62399893823986e-05,0,0,4.59263038299519e-19,1.74258776017718e-22,0,0,0,0,0,0
-18,2.67704069582064e-05,0,0,5.13988678583446e-19,1.98965618390962e-22,0,0,0,0,0,0
-17.975,2.73108636638943e-05,0,0,5.75145535569775e-19,2.27134286462715e-22,0,0,0,0,0,0
-17.95,2.78615348800447e-05,0,0,6.43478579576246e-19,2.59243957156013e-22,0,0,0,0,0,0
-17.925,2.84225987518876e-05,0,0,7.19817792571303e-19,2.95839303372816e-22,0,0,0,0,0,0
-17.9,2.8994236227052e-05,0,0,8.050877189408e-19,3.37539330349881e-22,0,0,0,0,0,0
-17.875,2.9576631093721e-05,0,0,9.00318071899596e-19,3.85047388179182e-22,0,0,0,0,0,0
-17.85,3.01699700192e-05,0,0,1.00665551025408e-18,4.39162514868559e-22,0,0,0,0,0,0
