xs,normal_cdf,cauchy_cdf,containment_like,contraction_like,compromise_like,normal_prior,normal_post_containment,normal_post_contraction,normal_post_compromise,cauchy_prior,cauchy_post_containment,cauchy_post_contraction,cauchy_post_compromise
-20,7.61985302416053e-24,0.00232707205522709,4.98930718499401e-06,0,0,3.84729931335321e-23,2.77565655851079e-27,0,0,0.000116349457009142,8.0499509163182e-09,0,0
-19.975,8.64434941160279e-24,0.00232998443192855,5.10022450546905e-06,0,0,4.35922068799133e-23,3.21490141091817e-27,0,0,0.000116640861336035,8.24951923413757e-09,0,0
-19.95,9.80507264439786e-24,0.00233290410742815,5.21347729105538e-06,0,0,4.93848658573062e-23,3.72298146689462e-27,0,0,0.000116933361775721,8.45385023126449e-09,0,0
-19.925,1.11199312877194e-23,0.00233583110919746,5.32911167637073e-06,0,0,5.59385290948646e-23,4.31057666381776e-27,0,0,0.000117226963832351,8.66305289470527e-09,0,0
-19.9,1.26091606702069e-23,0.00233876546484606,5.4471746392848e-06,0,0,6.33520026091126e-23,4.99000702149238e-27,0,0,0.000117521673044666,8.87723859149114e-09,0,0
-19.875,1.42956215415765e-23,0.00234170720212243,5.5677140148727e-06,0,0,7.17367661045946e-23,5.77548185992533e-27,0,0,0.00011781749498626,9.09652111798126e-09,0,0
-19.85,1.62051365874918e-23,0.00234465634891485,5.69077850956939e-06,0,0,8.12185783241063e-23,6.68338647801219e-27,0,0,0.000118114435265844,9.32101675012746e-09,0,0
-19.825,1.83668695385391e-23,0.00234761293325223,5.81641771552743e-06,0,0,9.19392831203566e-23,7.73261186145874e-27,0,0,0.000118412499527513,9.55084429471783e-09,0,0
-19.8,2.08137521949321e-23,0.00235057698330506,5.94468212518029e-06,0,0,1.04058841010141e-22,8.94493380647963e-27,0,0,0.000118711693451008,9.78612514161708e-09,0,0
-19.775,2.3582965344541e-23,0.00235354852738625,6.07562314601367e-06,0,0,1.17757613984232e-22,1.03454487828443e-26,0,0,0.000119012022751997,1.00269833170218e-08,0,0
-19.75,2.67164802875322e-23,0.00235652759395206,6.20929311554692e-06,0,0,1.33238934719414e-22,1.19630749327147e-26,0,0,0.000119313493182336,1.02735455377485e-08,0,0
-19.725,3.02616685059037e-23,0.002359514211603,6.34574531652741e-06,0,0,1.50731995116186e-22,1.38311278299091e-26,0,0,0.000119616110530356,1.05259412665744e-08,0,0
-19.7,3.42719879411367e-23,0.00236250840908476,6.48503399233978e-06,0,0,1.70495093314003e-22,1.59879820299147e-26,0,0,0.000119919880621131,1.07843027686478e-08,0,0
-19.675,3.88077553800395e-23,0.00236551021528909,6.62721436263238e-06,0,0,1.92819283068853e-22,1.84778310495182e-26,0,0,0.000120224809316764,1.10487651689897e-08,0,0
-19.65,4.39370156109544e-23,0.00236851965925479,6.77234263916397e-06,0,0,2.18032474674718e-22,2.13515602552396e-26,0,0,0.000120530902516668,1.13194665111045e-08,0,0
-19.625,4.97365193147096e-23,0.00237153677016859,6.92047604187246e-06,0,0,2.46504042536947e-22,2.4667749244786e-26,0,0,0.000120838166157854,1.15965478167208e-08,0,0
-19.6,5.62928231137653e-23,0.00237456157736614,7.0716728151683e-06,0,0,2.78650001136035e-22,2.84938227131653e-26,0,0,0.000121146606215212,1.18801531466818e-08,0,0
-19.575,6.37035268374019e-23,0.00237759411033292,7.22599224445513e-06,0,0,3.14938818536369e-22,3.29073715477236e-26,0,0,0.000121456228701811,1.21704296630066e-08,0,0
-19.55,7.20786648914285e-23,0.00238063439870522,7.38349467287986e-06,0,0,3.55897944888548e-22,3.79976690431466e-26,0,0,0.000121767039669182,1.24675276921427e-08,0,0
-19.525,8.15422706708815e-23,0.00238368247227113,7.54424151831521e-06,0,0,4.02121142647828e-22,4.38674107241128e-26,0,0,0.000122079045207623,1.27716007894319e-08,0,0
-19.5,9.22341352493942e-23,0.00238673836097143,7.70829529057626e-06,0,0,4.54276715598833e-22,5.06347103732302e-26,0,0,0.000122392251446489,1.30828058048096e-08,0,0
-19.475,1.04311784148417e-22,0.00238980209490068,7.87571960887457e-06,0,0,5.13116745365913e-22,5.84353895576419e-26,0,0,0.000122706664554501,1.34013029497619e-08,0,0
-19.45,1.17952698865274e-22,0.00239287370430813,8.04657921951169e-06,0,0,5.79487457039442e-22,6.74256033114412e-26,0,0,0.000123022290740044,1.37272558655605e-08,0,0
-19.425,1.33356813057399e-22,0.00239595321959872,8.22094001381475e-06,0,0,6.54340850020283e-22,7.7784850756867e-26,0,0,0.000123339136251473,1.40608316927993e-08,0,0
-19.4,1.5074931688102e-22,0.00239904067133414,8.3988690463168e-06,0,0,7.38747746352132e-22,8.97194264418928e-26,0,0,0.000123657207377428,1.4402201142256e-08,0,0
-19.375,1.70383807010821e-22,0.00240213609023378,8.58043455318416e-06,0,0,8.33912426870008e-22,1.03466376156904e-25,0,0,0.000123976510447139,1.4751538567101e-08,0,0
-19.35,1.92545824372876e-22,0.00240523950717577,8.76570597089402e-06,0,0,9.41189045662141e-22,1.19298030107374e-25,0,0,0.000124297051830748,1.51090220364799e-08,0,0
-19.325,2.17556826661828e-22,0.00240835095319802,8.95475395516377e-06,0,0,1.06210003586179e-21,1.37527196719994e-25,0,0,0.00012461883793962,1.54748334104898e-08,0,0
-19.3,2.45778648347233e-22,0.00241147045949922,9.14765040013558e-06,0,0,1.19835674492754e-21,1.58513112226248e-25,0,0,0.000124941875226667,1.5849158416578e-08,0,0
-19.275,2.77618507172394e-22,0.00241459805743995,9.34446845781858e-06,0,0,1.35188256563436e-21,1.82668254703632e-25,0,0,0.000125266170186672,1.62321867273865e-08,0,0
-19.25,3.13534623188748e-22,0.00241773377854363,9.54528255779103e-06,0,0,1.52483886031677e-21,2.10466146692435e-25,0,0,0.000125591729356614,1.66241120400668e-08,0,0
-19.225,3.5404252423649e-22,0.00242087765449768,9.75016842716527e-06,0,0,1.7196540108538e-21,2.42450288109268e-25,0,0,0.000125918559315997,1.7025132157093e-08,0,0
-19.2,3.99722120572624e-22,0.00242402971715451,9.95920311081801e-06,0,0,1.93905596587348e-21,2.79244381246564e-25,0,0,0.000126246666687185,1.7435449068597e-08,0,0
